season,round,circuitName,driverId,driverCode,Abbreviation,Position,Q1,Q2,Q3
2025,20,Mexico City Grand Prix,nor,NOR,NOR,1,0 days 00:01:16.899000,0 days 00:01:16.252000,0 days 00:01:15.586000
2025,20,Mexico City Grand Prix,lec,LEC,LEC,2,0 days 00:01:17.024000,0 days 00:01:16.658000,0 days 00:01:15.848000
2025,20,Mexico City Grand Prix,ham,HAM,HAM,3,0 days 00:01:16.736000,0 days 00:01:16.458000,0 days 00:01:15.938000
2025,20,Mexico City Grand Prix,rus,RUS,RUS,4,0 days 00:01:16.895000,0 days 00:01:16.537000,0 days 00:01:16.034000
2025,20,Mexico City Grand Prix,ver,VER,VER,5,0 days 00:01:17.076000,0 days 00:01:16.605000,0 days 00:01:16.070000
2025,20,Mexico City Grand Prix,ant,ANT,ANT,6,0 days 00:01:17.291000,0 days 00:01:16.773000,0 days 00:01:16.118000
2025,20,Mexico City Grand Prix,sai,SAI,SAI,7,0 days 00:01:17.171000,0 days 00:01:16.607000,0 days 00:01:16.172000
2025,20,Mexico City Grand Prix,pia,PIA,PIA,8,0 days 00:01:17.158000,0 days 00:01:16.737000,0 days 00:01:16.174000
2025,20,Mexico City Grand Prix,had,HAD,HAD,9,0 days 00:01:16.733000,0 days 00:01:16.804000,0 days 00:01:16.252000
2025,20,Mexico City Grand Prix,bea,BEA,BEA,10,0 days 00:01:17.040000,0 days 00:01:16.787000,0 days 00:01:16.460000
2025,20,Mexico City Grand Prix,tsu,TSU,TSU,11,0 days 00:01:17.234000,0 days 00:01:16.816000,
2025,20,Mexico City Grand Prix,oco,OCO,OCO,12,0 days 00:01:16.948000,0 days 00:01:16.837000,
2025,20,Mexico City Grand Prix,hul,HUL,HUL,13,0 days 00:01:17.251000,0 days 00:01:17.016000,
2025,20,Mexico City Grand Prix,alo,ALO,ALO,14,0 days 00:01:17.232000,0 days 00:01:17.103000,
2025,20,Mexico City Grand Prix,law,LAW,LAW,15,0 days 00:01:16.961000,0 days 00:01:18.072000,
2025,20,Mexico City Grand Prix,bor,BOR,BOR,16,0 days 00:01:17.412000,,
2025,20,Mexico City Grand Prix,alb,ALB,ALB,17,0 days 00:01:17.490000,,
2025,20,Mexico City Grand Prix,gas,GAS,GAS,18,0 days 00:01:17.546000,,
2025,20,Mexico City Grand Prix,str,STR,STR,19,0 days 00:01:17.606000,,
2025,20,Mexico City Grand Prix,col,COL,COL,20,0 days 00:01:17.670000,,
2025,21,São Paulo Grand Prix,nor,NOR,NOR,1,0 days 00:01:09.656000,0 days 00:01:09.616000,0 days 00:01:09.511000
2025,21,São Paulo Grand Prix,ant,ANT,ANT,2,0 days 00:01:10.192000,0 days 00:01:09.774000,0 days 00:01:09.685000
2025,21,São Paulo Grand Prix,lec,LEC,LEC,3,0 days 00:01:09.934000,0 days 00:01:09.801000,0 days 00:01:09.805000
2025,21,São Paulo Grand Prix,pia,PIA,PIA,4,0 days 00:01:09.928000,0 days 00:01:09.835000,0 days 00:01:09.886000
2025,21,São Paulo Grand Prix,had,HAD,HAD,5,0 days 00:01:10.083000,0 days 00:01:09.970000,0 days 00:01:09.931000
2025,21,São Paulo Grand Prix,rus,RUS,RUS,6,0 days 00:01:09.935000,0 days 00:01:09.880000,0 days 00:01:09.942000
2025,21,São Paulo Grand Prix,law,LAW,LAW,7,0 days 00:01:10.108000,0 days 00:01:09.950000,0 days 00:01:09.962000
2025,21,São Paulo Grand Prix,bea,BEA,BEA,8,0 days 00:01:09.891000,0 days 00:01:09.755000,0 days 00:01:09.977000
2025,21,São Paulo Grand Prix,gas,GAS,GAS,9,0 days 00:01:09.885000,0 days 00:01:09.857000,0 days 00:01:10.002000
2025,21,São Paulo Grand Prix,hul,HUL,HUL,10,0 days 00:01:10.337000,0 days 00:01:09.985000,0 days 00:01:10.039000
2025,21,São Paulo Grand Prix,alo,ALO,ALO,11,0 days 00:01:10.181000,0 days 00:01:10.001000,
2025,21,São Paulo Grand Prix,alb,ALB,ALB,12,0 days 00:01:10.115000,0 days 00:01:10.053000,
2025,21,São Paulo Grand Prix,ham,HAM,HAM,13,0 days 00:01:10.016000,0 days 00:01:10.100000,
2025,21,São Paulo Grand Prix,str,STR,STR,14,0 days 00:01:10.041000,0 days 00:01:10.161000,
2025,21,São Paulo Grand Prix,sai,SAI,SAI,15,0 days 00:01:10.184000,0 days 00:01:10.472000,
2025,21,São Paulo Grand Prix,ver,VER,VER,16,0 days 00:01:10.403000,,
2025,21,São Paulo Grand Prix,oco,OCO,OCO,17,0 days 00:01:10.438000,,
2025,21,São Paulo Grand Prix,col,COL,COL,18,0 days 00:01:10.632000,,
2025,21,São Paulo Grand Prix,tsu,TSU,TSU,19,0 days 00:01:10.711000,,
2025,21,São Paulo Grand Prix,bor,BOR,BOR,20,,,
2025,22,Las Vegas Grand Prix,nor,NOR,NOR,1,0 days 00:01:55.473000,0 days 00:01:51.379000,0 days 00:01:47.934000
2025,22,Las Vegas Grand Prix,ver,VER,VER,2,0 days 00:01:53.458000,0 days 00:01:51.593000,0 days 00:01:48.257000
2025,22,Las Vegas Grand Prix,sai,SAI,SAI,3,0 days 00:01:54.873000,0 days 00:01:51.144000,0 days 00:01:48.296000
2025,22,Las Vegas Grand Prix,rus,RUS,RUS,4,0 days 00:01:53.144000,0 days 00:01:50.935000,0 days 00:01:48.803000
2025,22,Las Vegas Grand Prix,pia,PIA,PIA,5,0 days 00:01:54.544000,0 days 00:01:52.126000,0 days 00:01:48.961000
2025,22,Las Vegas Grand Prix,law,LAW,LAW,6,0 days 00:01:54.828000,0 days 00:01:51.621000,0 days 00:01:49.062000
2025,22,Las Vegas Grand Prix,alo,ALO,ALO,7,0 days 00:01:53.739000,0 days 00:01:51.865000,0 days 00:01:49.466000
2025,22,Las Vegas Grand Prix,had,HAD,HAD,8,0 days 00:01:55.613000,0 days 00:01:51.120000,0 days 00:01:49.554000
2025,22,Las Vegas Grand Prix,lec,LEC,LEC,9,0 days 00:01:54.814000,0 days 00:01:51.952000,0 days 00:01:49.872000
2025,22,Las Vegas Grand Prix,gas,GAS,GAS,10,0 days 00:01:54.432000,0 days 00:01:51.760000,0 days 00:01:51.540000
2025,22,Las Vegas Grand Prix,hul,HUL,HUL,11,0 days 00:01:54.555000,0 days 00:01:52.781000,
2025,22,Las Vegas Grand Prix,str,STR,STR,12,0 days 00:01:54.416000,0 days 00:01:52.850000,
2025,22,Las Vegas Grand Prix,oco,OCO,OCO,13,0 days 00:01:54.635000,0 days 00:01:52.987000,
2025,22,Las Vegas Grand Prix,bea,BEA,BEA,14,0 days 00:01:56.016000,0 days 00:01:53.094000,
2025,22,Las Vegas Grand Prix,col,COL,COL,15,0 days 00:01:54.847000,0 days 00:01:53.683000,
2025,22,Las Vegas Grand Prix,alb,ALB,ALB,16,0 days 00:01:56.220000,,
2025,22,Las Vegas Grand Prix,ant,ANT,ANT,17,0 days 00:01:56.314000,,
2025,22,Las Vegas Grand Prix,bor,BOR,BOR,18,0 days 00:01:56.674000,,
2025,22,Las Vegas Grand Prix,tsu,TSU,TSU,19,0 days 00:01:56.798000,,
2025,22,Las Vegas Grand Prix,ham,HAM,HAM,20,0 days 00:01:57.115000,,
2025,23,Qatar Grand Prix,pia,PIA,PIA,1,0 days 00:01:20.234000,0 days 00:01:19.650000,0 days 00:01:19.387000
2025,23,Qatar Grand Prix,nor,NOR,NOR,2,0 days 00:01:20.157000,0 days 00:01:19.861000,0 days 00:01:19.495000
2025,23,Qatar Grand Prix,ver,VER,VER,3,0 days 00:01:20.472000,0 days 00:01:19.985000,0 days 00:01:19.651000
2025,23,Qatar Grand Prix,rus,RUS,RUS,4,0 days 00:01:20.074000,0 days 00:01:20.186000,0 days 00:01:19.662000
2025,23,Qatar Grand Prix,ant,ANT,ANT,5,0 days 00:01:20.576000,0 days 00:01:20.084000,0 days 00:01:19.846000
2025,23,Qatar Grand Prix,had,HAD,HAD,6,0 days 00:01:20.603000,0 days 00:01:20.350000,0 days 00:01:20.114000
2025,23,Qatar Grand Prix,sai,SAI,SAI,7,0 days 00:01:20.520000,0 days 00:01:20.251000,0 days 00:01:20.287000
2025,23,Qatar Grand Prix,alo,ALO,ALO,8,0 days 00:01:20.598000,0 days 00:01:20.219000,0 days 00:01:20.418000
2025,23,Qatar Grand Prix,gas,GAS,GAS,9,0 days 00:01:20.681000,0 days 00:01:20.324000,0 days 00:01:20.477000
2025,23,Qatar Grand Prix,lec,LEC,LEC,10,0 days 00:01:20.564000,0 days 00:01:20.343000,0 days 00:01:20.561000
2025,23,Qatar Grand Prix,hul,HUL,HUL,11,0 days 00:01:20.630000,0 days 00:01:20.353000,
2025,23,Qatar Grand Prix,law,LAW,LAW,12,0 days 00:01:20.539000,0 days 00:01:20.433000,
2025,23,Qatar Grand Prix,bea,BEA,BEA,13,0 days 00:01:20.548000,0 days 00:01:20.438000,
2025,23,Qatar Grand Prix,bor,BOR,BOR,14,0 days 00:01:20.653000,0 days 00:01:20.534000,
2025,23,Qatar Grand Prix,alb,ALB,ALB,15,0 days 00:01:20.629000,0 days 00:01:20.629000,
2025,23,Qatar Grand Prix,tsu,TSU,TSU,16,0 days 00:01:20.761000,,
2025,23,Qatar Grand Prix,oco,OCO,OCO,17,0 days 00:01:20.864000,,
2025,23,Qatar Grand Prix,ham,HAM,HAM,18,0 days 00:01:20.907000,,
2025,23,Qatar Grand Prix,str,STR,STR,19,0 days 00:01:21.058000,,
2025,23,Qatar Grand Prix,col,COL,COL,20,0 days 00:01:21.137000,,
2025,24,Abu Dhabi Grand Prix,ver,VER,VER,1,0 days 00:01:22.877000,0 days 00:01:22.752000,0 days 00:01:22.207000
2025,24,Abu Dhabi Grand Prix,nor,NOR,NOR,2,0 days 00:01:23.178000,0 days 00:01:22.804000,0 days 00:01:22.408000
2025,24,Abu Dhabi Grand Prix,pia,PIA,PIA,3,0 days 00:01:22.605000,0 days 00:01:23.021000,0 days 00:01:22.437000
2025,24,Abu Dhabi Grand Prix,rus,RUS,RUS,4,0 days 00:01:23.247000,0 days 00:01:22.730000,0 days 00:01:22.645000
2025,24,Abu Dhabi Grand Prix,lec,LEC,LEC,5,0 days 00:01:23.163000,0 days 00:01:22.948000,0 days 00:01:22.730000
2025,24,Abu Dhabi Grand Prix,alo,ALO,ALO,6,0 days 00:01:23.071000,0 days 00:01:22.861000,0 days 00:01:22.902000
2025,24,Abu Dhabi Grand Prix,bor,BOR,BOR,7,0 days 00:01:23.374000,0 days 00:01:22.874000,0 days 00:01:22.904000
2025,24,Abu Dhabi Grand Prix,oco,OCO,OCO,8,0 days 00:01:23.334000,0 days 00:01:23.023000,0 days 00:01:22.913000
2025,24,Abu Dhabi Grand Prix,had,HAD,HAD,9,0 days 00:01:23.373000,0 days 00:01:22.997000,0 days 00:01:23.072000
2025,24,Abu Dhabi Grand Prix,tsu,TSU,TSU,10,0 days 00:01:23.386000,0 days 00:01:23.034000,
2025,24,Abu Dhabi Grand Prix,bea,BEA,BEA,11,0 days 00:01:23.254000,0 days 00:01:23.041000,
2025,24,Abu Dhabi Grand Prix,sai,SAI,SAI,12,0 days 00:01:23.187000,0 days 00:01:23.042000,
2025,24,Abu Dhabi Grand Prix,law,LAW,LAW,13,0 days 00:01:23.265000,0 days 00:01:23.077000,
2025,24,Abu Dhabi Grand Prix,ant,ANT,ANT,14,0 days 00:01:22.894000,0 days 00:01:23.080000,
2025,24,Abu Dhabi Grand Prix,str,STR,STR,15,0 days 00:01:23.316000,0 days 00:01:23.097000,
2025,24,Abu Dhabi Grand Prix,ham,HAM,HAM,16,0 days 00:01:23.394000,,
2025,24,Abu Dhabi Grand Prix,alb,ALB,ALB,17,0 days 00:01:23.416000,,
2025,24,Abu Dhabi Grand Prix,hul,HUL,HUL,18,0 days 00:01:23.450000,,
2025,24,Abu Dhabi Grand Prix,gas,GAS,GAS,19,0 days 00:01:23.468000,,
2025,24,Abu Dhabi Grand Prix,col,COL,COL,20,0 days 00:01:23.890000,,
